date,position,song,artist,track_id,popularity,duration_ms,is_explicit,album_id,release_date,genres,main_genre
2023-05-18,48,PLAYA DEL INGLÉS,"Quevedo, Myke Towers",3y33vvSSP8dNie0hDK4CvF,84,237525,0,7menGlTCTcVnCbUMKRgu3Z,2023-01-20,unknown,unknown
2023-05-18,49,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,2tTmW7RDtMQtBk7m2rYeSw,93,198937,0,4PNqWiJAfjj32hVvlchV5u,2022-07-06,"argentine trap, trap latino, urbano latino",argentine trap
2023-05-18,50,MORNING,Milo j,1dJhW3HRdLnySFEUhf6VRh,79,123525,0,4BTbG5SHgE030stLkqx48q,2023-02-23,argentine trap,argentine trap
2023-05-19,1,Un Finde | CROSSOVER #2,Big One & FMK & Ke Personajes,3tiJUOfAEqIrLFRQgGgdoY,89,162500,0,7cAfD0HludcAifXAbcIR80,2023-04-04,"argentine trap, cuarteto, cumbia",argentine trap
2023-05-19,2,La Bebe - Remix,Yng Lvcas & Peso Pluma,2UW7JaomAMuX9pZrjVpHAU,99,234352,1,6aBVGuOUEuX18rHxyDWbti,2023-03-17,"reggaeton mexa, reggaeton, electro corridos, dembow belico",reggaeton mexa
2023-05-19,3,M.A - Remix,BM & Callejero Fino & La Joaqui,7JB29gnUowzSGRdIpeVqRQ,85,272727,1,3iggaiQChBAIIfQP8ZH2bR,2023-04-05,"rkt, turreo, cuarteto, cumbia",rkt
2023-05-19,4,Classy 101,Feid & Young Miko,1hZsWUnLbqRw09jLAMQSsb,95,195986,1,0lgs2Sa82lyX89nBUWyUy6,2023-03-31,"reggaeton, urbano latino",reggaeton
2023-05-19,5,Pobre Corazón - En Vivo,"Ke Personajes, Onda Sabanera",1AX4aybSRyXHWrjg27wTFE,84,198930,0,7kNdveFXAKstJ8iNMrwq4Z,2023-03-02,"cumbia, cuarteto",cumbia
2023-05-19,6,un x100to,Grupo Frontera & Bad Bunny,6pD0ufEQq0xdHSsRbg9LBK,100,194563,0,7aGzSSUD8S6IhPCsZSiuMT,2023-04-17,"cumbia norteña, banda, norteño, música mexicana, corrido, corridos tumbados, grupera, tejano, corridos bélicos, ranchera",cumbia norteña
2023-05-19,7,En La Intimidad | CROSSOVER #1,Big One & Emilia & Callejero Fino,7w7BrPbOjF5OxChs2dxFve,85,165854,0,5OT9JgUd8WVWBJgYog7a82,2023-02-01,"argentine trap, cuarteto, cumbia",argentine trap
2023-05-19,8,Ella Baila Sola,Eslabon Armado,3dnP0JxCgygwQH9Gm7q7nb,89,165671,0,3Mm1P5CEEAiuJqBclr2EyU,2023-04-28,"corridos tumbados, sad sierreño, corrido, sierreño, música mexicana, corridos bélicos",corridos tumbados
2023-05-19,9,Ya No Vuelvas (Versión Cuarteto),"Luck Ra, La K'onga, Ke Personajes",0u6JsFiEEXb6kaF0oqyeFi,84,204000,0,3X0T1blaMiY2aev0wrbK1G,2022-12-01,"cuarteto, cumbia, argentine trap",cuarteto
2023-05-19,10,ADIÓS,Maria Becerra,2bNCiY24Eh4saMcc23bvUN,80,160856,1,3iYC1GqtQVjnO63aYDs1nL,2022-12-08,argentine trap,argentine trap
2023-05-19,11,Rara Vez,Taiu & Milo j,7MVIfkyzuUmQ716j8U7yGR,92,128677,0,26wRfIX4WqKLKHll9O3KnF,2023-02-08,argentine trap,argentine trap
2023-05-19,12,No_se_ve.mp3,Emilia & LUDMILLA & ZECCA,2iIBpwP4FyQ95xgVail3yr,76,203636,1,7sAPapzxqBhYuDe7OxldCN,2023-05-03,argentine trap,argentine trap
2023-05-19,13,M.A (Mejores Amigos),BM & Phontana,61wAL7pFMMfvYv9SXIiYAB,83,158309,1,2QaWChONzZgOeHkfB8Bykl,2022-09-20,"rkt, turreo, cuarteto, cumbia",rkt
2023-05-19,14,Yandel 150,Yandel,2oiixB9QMIzhWaHGVlQx4g,90,216148,1,0T4sp7vn9arhvBUAda3foX,2023-01-13,"reggaeton, urbano latino, latin",reggaeton
2023-05-19,15,Perfecta (Versión 2023),"Miranda!, Maria Becerra, FMK",0vUqiSvbUICW3YtTA5ecSX,75,221053,0,5QL33hpDp6XBWdNsc0VGUO,2023-04-19,latin pop,latin pop
2023-05-19,16,Jagger.mp3,Emilia,5XUWO8VqwE4PEkLYAtt7h7,82,155861,0,2qo8j9yZIsx66yDuUho2jp,2023-03-30,argentine trap,argentine trap
2023-05-19,17,TQG,KAROL G,0DWdj2oZMBFSzRsi2Cvfzf,96,197933,1,4kS7bSuU0Jm9LYMosFU2x5,2023-02-24,"reggaeton, latin, urbano latino",reggaeton
2023-05-19,18,Cupido,TINI,04ndZkbKGthTgYSv3xS7en,84,174369,0,3HWlgRjxW0H7fWm1n2LBbE,2023-02-16,latin pop,latin pop
2023-05-19,19,MERCHO,LiL CaKe & Migrantes,1DxEbt6OSbrkRthk6pjZue,90,161451,0,5beJZJo0DqVaPVlA1cHwjj,2022-12-16,argentine trap,argentine trap
2023-05-19,20,Acróstico - Milan + Sasha,Shakira,7txjUEY6McJDJKqIo1Rxjp,83,170785,0,4ZQmQzeicvUGkLxFTI2Dvd,2023-05-11,latin pop,latin pop
2023-05-19,21,BESO,"ROSALÍA, Rauw Alejandro",609E1JCInJncactoMmkDon,96,194543,0,50uChhk7AKkzDKytDixjYW,2023-03-24,latin,latin
2023-05-19,22,Si No Te Tengo / Ángel / Aquello Que Pasó,Ke Personajes,1fKFxmSByZfjwVSbq0PHye,81,428438,0,0BmRinej1BC9Dk6AmpY6ND,2021-08-17,"cumbia, cuarteto",cumbia
2023-05-19,23,Quiero Creer,Luck Ra & La T y La M & Rusherking,4ZXZub1pPCWib6xlSHiTj6,78,145054,0,3X0T1blaMiY2aev0wrbK1G,2023-02-03,"cuarteto, cumbia, argentine trap",cuarteto
2023-05-19,24,Costumbres - Vivo,Damas Gratis & Ke Personajes,6HT88WDVwEJiHEbPuQ5XcB,80,133077,0,5bF1CFdbRtYvsCbVro137h,2022-10-27,"cumbia, cuarteto",cumbia
2023-05-19,25,Hey Mor,Ozuna,1zsPaEkglFvxjAhrM8yhpr,91,196600,0,1kjfMVBNhsDeRyAu9zbLfF,2022-10-07,"reggaeton, trap latino, latin, urbano latino",reggaeton
2023-05-19,26,DISCOTEKA (feat. Locura Mix),The La Planta & BM & Alejo Isakk,5w7RsSgxxBwdVTSyQDj8Bi,77,204480,0,64rUVVmLA2xspGjE2nt6dx,2023-02-16,"cumbia, rkt, cuarteto, turreo",cumbia
2023-05-19,27,Feliz Cumpleaños Ferxxo,Feid,2CeKVsFFXG4QzA415QygGb,89,155960,0,7pijRxgRaBirPz6wDaJIp9,2022-09-14,"reggaeton, urbano latino",reggaeton
2023-05-19,28,Muñecas,"TINI, La Joaqui, Steve Aoki",4yPmTUkWmUfLPQLCccp0DR,77,156318,0,3HWlgRjxW0H7fWm1n2LBbE,2023-02-16,latin pop,latin pop
2023-05-19,29,AL BORDE,Milo j,3eOkhJYDaTELGhWHBNbf4A,79,148321,1,10vvdzSUQmL6hYsoPDhG3X,2023-04-13,argentine trap,argentine trap
2023-05-19,30,Amanecemos,La Joaqui & Alan Gomez,4L6PEEISI0EWoKh8Wwtvuh,77,198183,1,3ybnP0l2GS9XlLOIoYGvPg,2023-03-16,"rkt, turreo",rkt
2023-05-19,31,Normal,Feid,0T2pB7P1VdXPhLdQZ488uH,87,171880,1,7pijRxgRaBirPz6wDaJIp9,2022-09-14,"reggaeton, urbano latino",reggaeton
2023-05-19,32,Te Escapas De Mis Brazos (Remix),ECKO & Callejero Fino & El Perro,6Vp8EcHAHjC9u7Qnsn2kob,78,217826,0,7z6DWyWrMQPPCGs5H0IU67,2023-03-02,"rkt, turreo, argentine trap, trap",rkt
2023-05-19,33,Marisola - Remix,Cris Mj & Duki & Nicki Nicole,77Yo8Ckvmb5vr7NW9UtgCZ,87,237473,1,5S8YipnDPn0kgWfoH4PlPw,2022-12-15,"reggaeton chileno, chilean trap, chilean mambo, reggaeton",reggaeton chileno
2023-05-19,34,CHORRITO PA LAS ANIMAS,Feid,0CYTGMBYkwUxrj1MWDLrC5,91,168133,1,31L7J7AO993tSBxAunoeoa,2022-12-02,"reggaeton, urbano latino",reggaeton
2023-05-19,35,La Bachata,Manuel Turizo,3tt9i3Hhzq84dPS8H7iSiJ,86,162637,0,7ubO2LZJZFpyhiWMZkRwcH,2023-03-17,"reggaeton, pop urbano, latin, colombian pop",reggaeton
2023-05-19,36,PUNTO G,Quevedo,1fcP2ZJG2ouG99iU2nI6HT,86,151324,0,7menGlTCTcVnCbUMKRgu3Z,2023-01-20,unknown,unknown
2023-05-19,37,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,4nrPB8O7Y7wsOCJdgXkthe,95,214945,0,1gi2iwr1l8IUyHYHxi01pg,2023-01-11,"argentine trap, trap latino, urbano latino",argentine trap
2023-05-19,38,Milagrosa,Milo j,1hjuyLGlU1jGsg23DFTJNd,82,140288,1,3bc3UpEEXFx29ZflJQ8hZm,2022-08-16,argentine trap,argentine trap
2023-05-19,39,ARRANCARMELO,WOS,2x8oBuYaObjqHqgGuIUZ0b,80,183547,0,4KFUPud6oSm5IgLwnGkzPt,2022-04-06,argentine trap,argentine trap
2023-05-19,40,aPoLLo13,Duki,0g38LwEQ9i0wjNdgxMTTr2,78,160547,1,26nUVuonXEdbJTo9PeBYoR,2023-05-03,"argentine trap, trap, trap latino",argentine trap
